iter	Passed	Remaining
0	4	4862
1	8	4208
2	13	4544
3	17	4438
4	21	4212
5	24	4018
6	28	4016
7	32	4034
8	36	3981
9	39	3904
10	43	3887
11	46	3850
12	50	3820
13	54	3804
14	57	3770
15	60	3721
16	63	3687
17	66	3641
18	68	3560
19	71	3490
20	74	3478
21	77	3447
22	80	3433
23	83	3411
24	86	3380
25	89	3359
26	92	3341
27	95	3320
28	98	3305
29	101	3267
30	104	3254
31	107	3242
32	110	3231
33	114	3245
34	117	3253
35	121	3259
36	125	3265
37	128	3263
38	132	3262
39	136	3266
40	139	3268
41	142	3254
42	146	3249
43	149	3248
44	153	3254
45	157	3256
46	160	3251
47	163	3239
48	166	3228
49	169	3219
50	172	3212
51	175	3199
52	178	3190
53	181	3181
54	184	3170
55	187	3161
56	190	3155
57	193	3148
58	197	3142
59	200	3136
60	203	3130
61	207	3143
62	210	3137
63	214	3141
64	217	3126
65	220	3118
66	224	3129
67	227	3123
68	231	3118
69	235	3127
70	239	3138
71	243	3134
72	246	3127
73	249	3119
74	253	3125
75	256	3118
76	259	3110
77	262	3104
78	266	3102
79	269	3099
80	272	3097
81	276	3090
82	279	3084
83	283	3088
84	286	3083
85	289	3078
86	292	3071
87	297	3079
88	300	3075
89	303	3068
90	306	3062
91	309	3054
92	312	3047
93	316	3052
94	320	3056
95	324	3057
96	328	3060
97	331	3051
98	334	3045
99	338	3049
100	341	3042
101	345	3038
102	347	3030
103	351	3030
104	355	3029
105	358	3026
106	362	3026
107	367	3037
108	371	3035
109	374	3032
110	378	3027
111	381	3022
112	383	3014
113	387	3009
114	390	3006
115	394	3006
116	397	3000
117	400	2996
118	403	2990
119	407	2985
120	410	2979
121	413	2973
122	417	2973
123	420	2970
124	424	2968
125	427	2967
126	431	2968
127	435	2967
128	439	2964
129	442	2958
130	445	2953
131	448	2950
132	452	2947
133	455	2943
134	458	2937
135	462	2936
136	465	2932
137	468	2927
138	472	2926
139	475	2923
140	479	2918
141	483	2919
142	486	2916
143	489	2911
144	494	2913
145	497	2909
146	501	2910
147	505	2908
148	508	2902
149	511	2898
150	515	2897
151	518	2893
152	522	2894
153	526	2891
154	529	2886
155	533	2885
156	537	2886
157	540	2882
158	543	2875
159	547	2874
160	551	2873
161	554	2870
162	557	2861
163	561	2862
164	565	2863
165	569	2860
166	572	2856
167	575	2851
168	578	2846
169	582	2841
170	586	2843
171	589	2838
172	592	2833
173	595	2828
174	599	2827
175	603	2825
176	607	2822
177	610	2819
178	613	2814
179	617	2813
180	621	2809
181	623	2804
182	627	2799
183	630	2794
184	633	2789
185	637	2790
186	640	2785
187	644	2781
188	648	2781
189	651	2778
190	654	2773
191	657	2768
192	661	2764
193	664	2760
194	668	2760
195	671	2755
196	675	2754
197	679	2754
198	682	2747
199	685	2742
200	688	2737
201	692	2734
202	695	2731
203	698	2726
204	702	2722
205	705	2718
206	709	2716
207	712	2714
208	716	2713
209	720	2709
210	723	2704
211	726	2701
212	730	2697
213	734	2697
214	737	2693
215	740	2688
216	743	2684
217	747	2681
218	750	2676
219	753	2671
220	757	2668
221	760	2664
222	764	2664
223	768	2660
224	771	2658
225	775	2655
226	778	2651
227	781	2646
228	785	2645
229	789	2641
230	792	2637
231	795	2632
232	798	2627
233	801	2624
234	804	2619
235	807	2614
236	810	2610
237	815	2609
238	818	2605
239	821	2600
240	825	2599
241	828	2596
242	832	2592
243	835	2588
244	838	2584
245	841	2580
246	845	2577
247	848	2572
248	851	2568
249	854	2564
250	858	2561
251	861	2556
252	864	2552
253	868	2549
254	871	2546
255	874	2542
256	878	2538
257	882	2537
258	885	2533
259	888	2529
260	891	2525
261	895	2523
262	899	2520
263	902	2516
264	906	2513
265	909	2510
266	912	2506
267	915	2501
268	919	2497
269	922	2493
270	925	2489
271	929	2487
272	933	2486
273	936	2481
274	940	2478
275	944	2478
276	947	2473
277	950	2469
278	953	2465
279	956	2460
280	959	2456
281	963	2451
282	966	2448
283	970	2446
284	973	2441
285	976	2437
286	979	2433
287	983	2430
288	986	2427
289	989	2422
290	992	2418
291	996	2415
292	999	2412
293	1003	2408
294	1006	2404
295	1009	2400
296	1012	2396
297	1015	2391
298	1018	2387
299	1021	2384
300	1025	2381
301	1029	2378
302	1032	2374
303	1036	2372
304	1039	2368
305	1044	2368
306	1047	2365
307	1051	2362
308	1055	2359
309	1058	2356
310	1062	2353
311	1065	2349
312	1069	2347
313	1074	2347
314	1077	2343
315	1080	2339
316	1084	2335
317	1088	2334
318	1092	2331
319	1096	2329
320	1099	2326
321	1102	2322
322	1106	2318
323	1110	2317
324	1114	2314
325	1117	2311
326	1121	2307
327	1124	2303
328	1127	2299
329	1130	2295
330	1133	2291
331	1136	2286
332	1139	2282
333	1142	2278
334	1146	2275
335	1149	2271
336	1152	2267
337	1155	2264
338	1160	2262
339	1163	2259
340	1167	2256
341	1171	2252
342	1174	2249
343	1177	2245
344	1180	2242
345	1183	2237
346	1187	2233
347	1190	2229
348	1193	2225
349	1196	2221
350	1199	2217
351	1202	2212
352	1205	2208
353	1208	2204
354	1212	2202
355	1215	2198
356	1218	2194
357	1221	2191
358	1225	2188
359	1229	2185
360	1232	2181
361	1237	2180
362	1240	2176
363	1244	2175
364	1248	2171
365	1251	2167
366	1254	2163
367	1257	2159
368	1261	2157
369	1264	2153
370	1267	2149
371	1271	2145
372	1274	2142
373	1277	2138
374	1280	2134
375	1283	2130
376	1286	2126
377	1290	2123
378	1294	2121
379	1298	2117
380	1302	2116
381	1306	2113
382	1309	2109
383	1312	2105
384	1315	2101
385	1318	2097
386	1321	2093
387	1325	2090
388	1329	2087
389	1332	2083
390	1335	2079
391	1338	2075
392	1341	2072
393	1344	2068
394	1347	2064
395	1350	2060
396	1354	2056
397	1358	2054
398	1362	2052
399	1365	2048
400	1369	2044
401	1372	2041
402	1374	2036
403	1378	2033
404	1381	2029
405	1384	2025
406	1387	2021
407	1390	2017
408	1393	2013
409	1397	2010
410	1400	2006
411	1403	2003
412	1407	1999
413	1410	1996
414	1413	1992
415	1416	1988
416	1420	1985
417	1423	1981
418	1426	1977
419	1429	1973
420	1432	1969
421	1435	1966
422	1438	1962
423	1442	1959
424	1445	1956
425	1448	1952
426	1451	1948
427	1456	1946
428	1459	1942
429	1462	1939
430	1466	1936
431	1469	1932
432	1473	1929
433	1476	1925
434	1479	1921
435	1482	1917
436	1485	1914
